spelling; nchar; SUBTLEXWF; dominant_pos
toen; 4; 1086.55; VG
de; 2; 24266.89; LID
dé; 2; 5.10; LID
dè; 2; 0.37; WW
barkeeper; 9; 4.21; N
die; 3; 7204.33; VNW
díe; 3; 0.27; N
irritante; 9; 1.92; ADJ
klant; 5; 35.33; N
bediende; 8; 11.14; N
wegliep; 7; 3.00; WW
gingen; 6; 103.29; WW
deuren; 6; 32.63; N
open; 4; 337.64; ADJ
manke; 5; 1.33; ADJ
dronkaard; 9; 2.79; N
betaalde; 8; 17.54; WW
lachte; 6; 12.39; WW
viel; 4; 85.87; WW
kruk; 4; 2.56; N
om; 2; 4415.31; VZ
rector; 6; 5.83; N
stoere; 6; 12.58; ADJ
puber; 5; 1.72; N
strafte; 7; 0.94; WW
was; 3; 5303.09; WW
wás; 3; 0.57; N
wàs; 3; 0.09; N
erg; 3; 749.20; ADJ
érg; 3; 0.18; ADJ
onredelijk; 10; 3.66; ADJ
inbreker; 8; 4.53; N
gekrenkte; 9; 0.21; ADJ
pastoor; 7; 11.87; N
smeekte; 7; 7.36; WW
ten; 3; 36.86; VZ
einde; 5; 112.94; N
raad; 4; 83.01; N
vorige; 6; 86.69; ADJ
week; 4; 235.61; N
kreeg; 5; 169.93; WW
assistent; 9; 20.65; N
bruine; 6; 12.55; ADJ
bruïne; 6; 0.09; ADJ
tanden; 6; 42.58; N
behandelde; 10; 5.81; WW
uitslag; 7; 11.98; N
maandag; 7; 30.99; SPEC
medicus; 7; 0.59; N
vreemde; 7; 62.11; ADJ
pokken; 6; 1.65; N
zelf; 4; 437.46; BW
laatst; 6; 60.49; BW
gevreesde; 9; 1.88; ADJ
psychiater; 10; 19.71; N
verslaafde; 10; 4.23; ADJ
zijn; 4; 7968.23; WW
zíjn; 4; 0.30; VNW
ontslag; 7; 30.19; N
overtreder; 10; 0.48; N
smeris; 6; 22.91; N
ontvlucht; 9; 1.37; WW
is; 2; 21668.89; WW
ís; 2; 0.78; N
ìs; 2; 0.09; ADJ
een; 3; 17972.18; LID
één; 3; 628.71; TW
eén; 3; 150.06; TW
èèn; 3; 7.82; N
eèn; 3; 1.94; SPEC
éen; 3; 0.14; N
eën; 3; 0.02; N
kronkelig; 9; 0.09; ADJ
paadje; 6; 0.16; N
eigenaars; 9; 3.36; N
van; 3; 10410.25; VZ
het; 3; 24431.97; VNW
hét; 3; 1.85; LID
hèt; 3; 0.16; ADJ
landgoed; 8; 7.87; N
honderden; 9; 22.75; N
bezoekers; 9; 9.97; N
rondleiden; 10; 2.93; WW
trots; 5; 111.46; ADJ
gisteren; 8; 131.79; BW
had; 3; 2106.20; WW
brede; 5; 3.13; ADJ
bodyguard; 9; 2.38; N
filmster; 8; 6.13; N
beschermde; 10; 6.38; WW
vrije; 5; 39.29; ADJ
dag; 3; 848.56; N
morgen; 6; 423.61; BW
krijgt; 6; 324.59; WW
ober; 4; 10.02; N
beroemde; 8; 18.55; ADJ
president; 9; 128.70; N
beledigde; 9; 2.13; WW
arts; 4; 32.79; N
vieze; 5; 22.04; ADJ
bandage; 7; 0.02; N
verschoonde; 11; 0.21; WW
trok; 4; 26.62; WW
eerst; 5; 359.16; BW
éérst; 5; 0.09; WW
plastic; 7; 15.05; ADJ
handschoenen; 12; 12.03; N
aan; 3; 3838.54; VZ
áán; 3; 0.14; VNW
hockeyer; 8; 0.14; N
met; 3; 6812.14; VZ
mét; 3; 1.01; VZ
mèt; 3; 0.11; WW
gescheurde; 10; 1.44; WW
pezen; 5; 0.59; N
adviseert; 9; 1.01; WW
heeft; 5; 3657.17; WW
hééft; 5; 0.11; WW
er; 2; 8170.49; VNW
veel; 4; 1155.79; VNW
verstand; 8; 38.19; N
oma; 3; 72.86; N
gebroken; 8; 66.04; WW
bekken; 6; 2.24; N
verpleegster; 12; 15.62; N
raadpleegde; 11; 0.02; WW
moest; 5; 464.93; WW
móest; 5; 0.09; WW
huilen; 6; 54.52; WW
alcoholist; 10; 5.37; N
bekende; 7; 18.59; ADJ
psycholoog; 10; 5.21; N
weer; 4; 1136.95; BW
wéér; 4; 0.78; ADJ
terugval; 8; 1.17; N
scholier; 8; 1.26; N
meester; 7; 64.90; N
treitert; 8; 0.37; WW
alweer; 6; 60.62; BW
punaises; 8; 0.07; N
op; 2; 8068.80; VZ
óp; 2; 0.11; BW
stoel; 5; 51.20; N
gelegd; 6; 18.39; WW
altijd; 6; 978.45; BW
te; 2; 7844.12; VZ
té; 2; 2.29; N
tè; 2; 0.21; WW
hoog; 4; 63.23; ADJ
springt; 7; 11.57; WW
tijdens; 7; 134.65; VZ
basketbal; 9; 8.80; N
enkel; 5; 113.68; BW
bezeerd; 7; 4.85; WW
politieman; 10; 13.17; N
agressieve; 10; 3.00; ADJ
kraker; 6; 0.48; N
arresteert; 10; 2.70; WW
gaat; 4; 2265.77; WW
gáát; 4; 0.09; WW
hardhandig; 10; 1.17; ADJ
werk; 4; 680.23; N
angstige; 8; 1.69; ADJ
dames; 5; 132.18; N
bekogelt; 8; 0.05; WW
ver; 3; 131.49; ADJ
journalist; 10; 16.30; N
interviewt; 10; 0.43; WW
wil; 3; 3975.61; WW
weten; 5; 977.26; WW
zuster; 6; 71.51; N
tuberculose; 11; 1.21; N
lijdende; 8; 0.39; WW
bejaarde; 8; 1.42; ADJ
wast; 4; 3.91; WW
zorgzaam; 8; 1.56; ADJ
goochelaar; 10; 3.86; N
vrijwilliger; 12; 5.72; N
uit; 3; 2777.35; VZ
enthousiaste; 12; 1.05; ADJ
publiek; 7; 41.87; N
instrueert; 10; 0.05; WW
onduidelijk; 11; 3.80; ADJ
geduldige; 9; 0.32; ADJ
dominee; 7; 22.23; N
baby; 4; 151.80; N
doopt; 5; 0.23; WW
begint; 6; 124.24; WW
spreken; 7; 281.37; WW
voorganger; 10; 3.04; N
snoezige; 8; 0.30; ADJ
kleintje; 8; 16.03; N
houdt; 5; 342.08; WW
haar; 4; 2975.87; VNW
háár; 4; 0.53; N
stevig; 6; 15.57; ADJ
vast; 4; 662.03; ADJ
dat; 3; 22077.22; VNW
dát; 3; 2.88; VNW
dàt; 3; 0.30; WW
meisje; 6; 382.74; N
boterham; 8; 6.08; N
zonder; 6; 516.15; VZ
zónder; 6; 0.07; N
pindakaas; 9; 5.33; N
verwend; 7; 5.95; WW
robert; 6; 28.01; SPEC
schone; 6; 18.73; ADJ
dochter; 7; 219.30; N
jan; 3; 7.66; SPEC
huwelijk; 8; 79.85; N
vroeg; 5; 298.91; WW
slikte; 6; 2.49; WW
detective; 9; 20.22; N
criminelen; 10; 13.97; N
opspoort; 8; 0.91; WW
vette; 5; 12.65; ADJ
beloning; 8; 21.43; N
staat; 5; 652.88; WW
speurhond; 9; 0.37; N
illegale; 8; 9.12; ADJ
drugs; 5; 83.15; N
koekje; 6; 8.12; N
gedetineerde; 12; 0.78; WW
trage; 5; 2.26; ADJ
bewaker; 7; 20.42; N
afschudt; 8; 0.07; WW
hulp; 4; 239.77; N
handlanger; 10; 3.70; N
vandaag; 7; 369.61; BW
laatste; 7; 398.82; ADJ
kandidaat; 9; 12.60; N
examinator; 10; 0.16; N
overtuigt; 9; 1.85; WW
imponerend; 10; 0.32; WW
spits; 5; 2.08; N
trainer; 7; 8.14; N
opstelde; 8; 0.21; WW
cruciale; 8; 1.62; ADJ
training; 8; 20.47; N
gemist; 6; 74.50; WW
niemand; 7; 713.00; VNW
wist; 4; 594.47; WW
gevaarlijke; 11; 21.68; ADJ
tornado; 7; 3.43; N
ontstond; 8; 3.18; WW
slachtoffers; 12; 36.47; N
zou; 3; 2506.92; WW
eisen; 5; 21.11; N
employee; 8; 0.11; N
ontsnapte; 9; 11.62; WW
dieven; 6; 12.76; N
beschrijft; 10; 3.43; WW
nauwkeurig; 10; 4.37; ADJ
wrede; 5; 7.16; ADJ
onderdaan; 9; 1.07; N
beveelt; 7; 3.77; WW
boos; 4; 105.79; ADJ
derde; 5; 76.49; TW
getal; 5; 6.91; N
oplettende; 10; 0.27; WW
toehoorder; 10; 0.05; N
signaleert; 10; 0.23; WW
zes; 3; 199.84; TW
mijn; 4; 4412.02; VNW
míjn; 4; 0.39; VNW
vriendin; 8; 173.61; N
mona; 4; 5.69; SPEC
gek; 3; 542.72; ADJ
gék; 3; 0.16; N
jongens; 7; 385.85; N
gemixte; 7; 0.23; WW
drankjes; 8; 12.14; N
kopen; 5; 130.64; WW
voor; 4; 6709.90; VZ
vóór; 4; 15.96; VZ
vòòr; 4; 0.27; N
vôôr; 4; 0.14; N
voór; 4; 0.07; VZ
aannemer; 8; 2.65; N
bewoner; 7; 2.17; N
goed; 4; 3488.11; ADJ
humeur; 6; 4.92; N
vrouwtje; 8; 13.72; N
verlaten; 8; 101.33; WW
poezen; 6; 0.27; N
opvangt; 7; 0.75; WW
ruzie; 5; 64.19; N
buren; 5; 30.14; N
onlangs; 7; 17.06; BW
gaf; 3; 191.52; WW
jongeman; 8; 28.81; N
populaire; 9; 4.32; ADJ
portier; 7; 7.52; N
inhuurde; 8; 1.39; WW
groot; 5; 237.51; ADJ
feest; 5; 98.26; N
elfje; 5; 0.59; N
sterke; 6; 33.52; ADJ
beren; 5; 9.38; N
betoverde; 9; 1.51; WW
vriendelijk; 11; 37.09; ADJ
schilder; 8; 10.50; N
knappe; 6; 30.07; ADJ
prinses; 7; 42.47; N
tekent; 6; 8.87; WW
zit; 3; 1059.88; WW
onder; 5; 463.24; VZ
verf; 4; 14.48; N
kokkin; 6; 2.13; N
pap; 3; 118.94; N
dakloze; 7; 3.57; ADJ
burgers; 7; 26.23; N
kookt; 5; 7.20; WW
geen; 4; 3956.92; VNW
géén; 4; 1.94; ADJ
zin; 3; 172.65; N
meer; 4; 2035.88; VNW
méér; 4; 1.69; VNW
nora; 4; 7.09; SPEC
warme; 5; 20.92; ADJ
dekens; 6; 6.72; N
arme; 4; 89.02; ADJ
mensen; 6; 1089.40; N
weeft; 5; 0.21; WW
gelukkig; 8; 204.92; ADJ
gewelddadige; 12; 6.61; ADJ
schutter; 8; 14.18; N
jullie; 6; 2325.71; VNW
directeur; 9; 36.20; N
doodde; 6; 21.61; WW
al; 2; 2344.26; BW
eerder; 6; 191.31; ADJ
éérder; 6; 0.02; N
veroordeeld; 11; 20.47; WW
geweest; 7; 520.02; WW
ruiter; 6; 2.86; N
geliefde; 8; 23.85; ADJ
paarden; 7; 46.03; N
streelde; 8; 0.87; WW
winnaar; 7; 23.60; N
geworden; 8; 147.13; WW
raadsman; 8; 5.99; N
delinquent; 10; 0.41; N
bijstond; 8; 0.25; WW
radio; 5; 58.70; N
opgesloten; 10; 28.22; WW
peuters; 7; 0.34; N
ouders; 6; 172.61; N
alarmeren; 9; 0.98; WW
in; 2; 8822.64; VZ
ín; 2; 0.07; WW
paniek; 6; 39.86; N
dochters; 8; 19.14; N
bevrijden; 9; 21.29; WW
opgelucht; 9; 5.26; ADJ
naar; 4; 4447.55; VZ
huis; 4; 818.90; N
joost; 5; 0.59; SPEC
grijpt; 6; 6.38; WW
kidnapper; 9; 1.10; N
bange; 5; 3.75; ADJ
directrice; 10; 2.31; N
ontglipt; 8; 1.05; WW
kraag; 5; 3.59; N
bazin; 5; 1.51; N
bang; 4; 477.21; ADJ
starre; 6; 0.18; ADJ
diplomaat; 9; 2.86; N
rent; 4; 11.16; WW
deur; 4; 247.48; N
opzichter; 9; 2.88; N
nuchtere; 8; 1.03; ADJ
boswachter; 10; 1.37; N
uitbuit; 7; 0.30; WW
onaardige; 9; 0.25; ADJ
man; 3; 1403.81; N
werknemer; 9; 6.29; N
strenge; 7; 3.34; ADJ
gehoorzaamt; 11; 2.47; WW
baan; 4; 158.45; N
kwijt; 5; 146.01; ADJ
raken; 5; 79.58; WW
fans; 4; 10.84; N
gespannen; 9; 17.81; ADJ
bowlers; 7; 0.02; N
aanmoedigen; 11; 2.40; WW
willen; 6; 754.27; WW
hun; 3; 756.88; VNW
hún; 3; 0.09; N
winnen; 6; 116.56; WW
ik; 2; 39883.03; VNW
ík; 2; 1.39; N
ìk; 2; 0.18; N
sprak; 5; 53.56; WW
nog; 3; 4025.62; BW
nóg; 3; 1.99; BW
nòg; 3; 0.14; WW
hans; 4; 7.55; SPEC
scheve; 6; 0.73; ADJ
torens; 6; 2.68; N
ontworpen; 9; 11.59; WW
zwerver; 7; 6.77; N
hulpverlener; 12; 0.37; N
hielp; 5; 30.37; WW
bereden; 7; 0.91; WW
politie; 7; 346.17; N
zag; 3; 461.29; WW
rende; 5; 18.23; WW
hij; 3; 8875.74; VNW
híj; 3; 0.37; N
hïj; 3; 0.09; N
weg; 3; 1481.66; BW
wég; 3; 0.27; N
zieke; 5; 16.53; ADJ
huisvestte; 10; 0.05; WW
kamer; 5; 275.24; N
binnenkwam; 10; 8.51; WW
schrok; 6; 10.66; WW
grootvader; 10; 19.94; N
slinkse; 7; 0.37; ADJ
deugniet; 8; 1.26; N
doorhad; 7; 2.22; WW
voelde; 6; 93.37; WW
zich; 4; 691.64; VNW
bedrogen; 8; 13.54; WW
goedkope; 8; 13.88; ADJ
beunhaas; 8; 0.07; N
achterste; 9; 9.79; ADJ
bordes; 6; 0.09; N
repareerde; 10; 0.73; WW
dwaze; 5; 3.73; ADJ
belager; 7; 0.71; N
vloerde; 7; 0.18; WW
niet; 4; 18323.98; BW
níet; 4; 0.32; N
niét; 4; 0.30; WW
houden; 6; 502.75; WW
bedrieger; 9; 8.32; N
simpele; 7; 17.52; ADJ
taxateur; 8; 0.34; N
misleidde; 9; 0.53; WW
schuldig; 8; 85.91; ADJ
tante; 5; 62.34; N
wedstrijd; 9; 72.51; N
won; 3; 16.97; WW
gladde; 6; 3.91; ADJ
pieren; 6; 0.27; N
gebruikt; 8; 128.22; WW
bordeel; 7; 6.04; N
vermaken; 8; 9.26; WW
hebben; 6; 3433.66; WW
koud; 4; 95.95; ADJ
ontwerper; 9; 2.90; N
koningin; 8; 59.50; N
kleding; 7; 22.50; N
verkoopt; 8; 26.02; WW
creatief; 8; 6.31; ADJ
nam; 3; 116.08; WW
paspop; 6; 0.16; N
gang; 4; 110.80; N
stond; 5; 167.71; WW
mee; 3; 1415.45; VZ
duurste; 7; 2.42; ADJ
trompet; 7; 2.68; N
uitkiest; 8; 0.57; WW
geld; 4; 793.61; N
genoeg; 6; 601.68; BW
kapper; 6; 11.75; N
drukke; 6; 7.98; ADJ
teamleider; 10; 1.83; N
ervaring; 8; 47.61; N
joke; 4; 0.34; SPEC
spaanse; 7; 10.45; ADJ
tamboerijn; 10; 0.43; N
speelt; 6; 86.97; WW
liefst; 6; 3.70; BW
vooraan; 7; 7.16; BW
behulpzame; 10; 0.48; ADJ
serveerster; 11; 9.86; N
eenvoudige; 10; 9.44; ADJ
boerin; 6; 0.64; N
hield; 5; 150.75; WW
netjes; 6; 30.05; ADJ
winkel; 6; 65.13; N
werden; 6; 104.48; WW
hippe; 5; 2.13; ADJ
brillen; 7; 0.89; N
verkocht; 8; 56.60; WW
behoorlijk; 10; 41.25; ADJ
stugge; 6; 0.18; ADJ
diafragma; 9; 0.34; N
buikholte; 9; 0.09; N
